train/learning_rate:0.0003;train/entropy_loss:-0.5414261387661099;train/policy_gradient_loss:-0.017193939979188146;train/value_loss:0.06466934822965413;train/approx_kl:0.028435617685317993;train/clip_fraction:0.179931640625;train/loss:0.008990772068500519;train/explained_variance:-0.056946396827697754;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.11290322580645161;eval/std_reward:0.31647446565078363;eval/mean_ep_length:6.903225806451613;eval/std_ep_length:3.057036713083518;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.5250969968736172;train/policy_gradient_loss:-0.009635542711475865;train/value_loss:0.03709778931515757;train/approx_kl:0.012860342860221863;train/clip_fraction:0.13017578125;train/loss:0.011483617126941681;train/explained_variance:0.31232815980911255;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:True;standard_corruptions:False;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_label_corruptions.json;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:True;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-True-1-False-False-True;seed_run_i:0
train;pos_queries:33;neg_queries:48;ratio_pos_queries:0.41;mrr_mean:0.8125;mrr_std:0.29389033290970595;rewards_pos_mean:0.696969696969697;rewards_pos_std:0.459568208730397;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.2839506172839506;rewards_std:0.45091314488270806;episode_len_pos_mean:5.363636363636363;episode_len_pos_std:4.043836925481765;episode_len_neg_mean:8.5;episode_len_neg_std:3.013856886670854;episode_len_mean:7.222222222222222;episode_len_std:3.797334997918903;log_probs_pos_mean:-1.6521078167539653;log_probs_pos_std:2.0788265500990186;log_probs_neg_mean:-2.6483574310938516;log_probs_neg_std:1.9851735634808378;log_probs_mean:-2.242477958585009;log_probs_std:2.082209115347166;auc_pr:0.7243775490074114
valid;pos_queries:24;neg_queries:38;ratio_pos_queries:0.39;mrr_mean:0.7192982456140351;mrr_std:0.3013256848652222;rewards_pos_mean:0.4583333333333333;rewards_pos_std:0.4982608642958916;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.1774193548387097;rewards_std:0.38202320265571005;episode_len_pos_mean:5.666666666666667;episode_len_pos_std:3.4960294939005054;episode_len_neg_mean:7.631578947368421;episode_len_neg_std:2.252729953582389;episode_len_mean:6.870967741935484;episode_len_std:2.959314823530249;log_probs_pos_mean:-2.0747064352035522;log_probs_pos_std:1.9002023056628499;log_probs_neg_mean:-2.704357749537418;log_probs_neg_std:1.709555873966527;log_probs_mean:-2.4606217568920505;log_probs_std:1.8119155355027743;auc_pr:0.6374269754768015
test;pos_queries:24;neg_queries:38;ratio_pos_queries:0.39;mrr_mean:0.631578947368421;mrr_std:0.2890746851453348;rewards_pos_mean:0.16666666666666666;rewards_pos_std:0.372677996249965;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.06451612903225806;rewards_std:0.24567010018915836;episode_len_pos_mean:7.416666666666667;episode_len_pos_std:2.885548282196797;episode_len_neg_mean:7.7368421052631575;episode_len_neg_std:3.1261562957721054;episode_len_mean:7.612903225806452;episode_len_std:3.039284926031532;log_probs_pos_mean:-2.856049140294393;log_probs_pos_std:1.9300084749600968;log_probs_neg_mean:-3.0149283158151725;log_probs_neg_std:2.1229144222720264;log_probs_mean:-2.9534266994845484;log_probs_std:2.0518551401295264;auc_pr:0.41210174253606136
