train/learning_rate:0.0003;train/entropy_loss:-0.7665869411081075;train/policy_gradient_loss:-0.017972302626003512;train/value_loss:0.06796150390873663;train/approx_kl:0.01784377172589302;train/clip_fraction:0.189892578125;train/loss:0.010491492226719856;train/explained_variance:-0.0928945541381836;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.023809523809523808;eval/std_reward:0.1524553389864964;eval/mean_ep_length:6.892857142857143;eval/std_ep_length:2.5119611819436694;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.7714648446068167;train/policy_gradient_loss:-0.01858117031515576;train/value_loss:0.07207694071694278;train/approx_kl:0.018891438841819763;train/clip_fraction:0.190380859375;train/loss:0.0015031136572360992;train/explained_variance:0.05265951156616211;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:False;standard_corruptions:False;dataset_name:countries_s3_old;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3_old/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3_old/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[1];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3_old;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3_old-transe-PPO-50-20-True-6000-False-False-1-False-False-False;seed_run_i:1
train;pos_queries:26;neg_queries:72;ratio_pos_queries:0.27;mrr_mean:0.90625;mrr_std:0.21423920626253262;rewards_pos_mean:0.46153846153846156;rewards_pos_std:0.49851851526214314;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.12244897959183673;rewards_std:0.3278036409022247;episode_len_pos_mean:5.730769230769231;episode_len_pos_std:2.228447067210919;episode_len_neg_mean:7.125;episode_len_neg_std:2.027159342528357;episode_len_mean:6.755102040816326;episode_len_std:2.17152830828182;log_probs_pos_mean:-2.240816042973445;log_probs_pos_std:1.252475189278752;log_probs_neg_mean:-3.046518643697103;log_probs_neg_std:1.3071968027806071;log_probs_mean:-2.832760810852051;log_probs_std:1.3409455796122385;auc_pr:0.45677184829711504
valid;pos_queries:24;neg_queries:60;ratio_pos_queries:0.29;mrr_mean:0.5333333333333333;mrr_std:0.2879525423861833;rewards_pos_mean:0.08333333333333333;rewards_pos_std:0.2763853991962833;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.023809523809523808;rewards_std:0.1524553389864964;episode_len_pos_mean:5.25;episode_len_pos_std:1.713913650100261;episode_len_neg_mean:5.45;episode_len_neg_std:1.6874537030686203;episode_len_mean:5.392857142857143;episode_len_std:1.6974620911880205;log_probs_pos_mean:-2.4490833282470703;log_probs_pos_std:1.4222775699586505;log_probs_neg_mean:-2.6399359067281085;log_probs_neg_std:1.3621186269535352;log_probs_mean:-2.5854065985906693;log_probs_std:1.3822661536553442;auc_pr:0.3677248654040598
test;pos_queries:25;neg_queries:57;ratio_pos_queries:0.3;mrr_mean:0.5526315789473685;mrr_std:0.3132205451115285;rewards_pos_mean:0.28;rewards_pos_std:0.44899888641287294;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.08536585365853659;rewards_std:0.2794253472534049;episode_len_pos_mean:6.04;episode_len_pos_std:2.505673562138532;episode_len_neg_mean:6.894736842105263;episode_len_neg_std:2.1738817292698296;episode_len_mean:6.634146341463414;episode_len_std:2.313861702562229;log_probs_pos_mean:-2.8924324035644533;log_probs_pos_std:1.9994138818152245;log_probs_neg_mean:-3.6341037415621575;log_probs_neg_std:1.7925595690491993;log_probs_mean:-3.407984431197004;log_probs_std:1.889176585095032;auc_pr:0.5100829750001075
