train/learning_rate:0.0003;train/entropy_loss:-0.7794396933168173;train/policy_gradient_loss:-0.02057014228485059;train/value_loss:0.6717998457141221;train/approx_kl:0.01925717666745186;train/clip_fraction:0.177197265625;train/loss:0.11597973108291626;train/explained_variance:-0.8364415168762207;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.023809523809523808;eval/std_reward:0.1524553389864964;eval/mean_ep_length:6.25;eval/std_ep_length:1.7853571071357126;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.7879814205691218;train/policy_gradient_loss:-0.01763872245355742;train/value_loss:0.07599339308217168;train/approx_kl:0.015484923496842384;train/clip_fraction:0.171923828125;train/loss:0.013824092224240303;train/explained_variance:-0.08506298065185547;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:False;standard_corruptions:False;dataset_name:countries_s3_old;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3_old/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3_old/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[2];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3_old;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3_old-transe-PPO-50-20-True-6000-False-False-1-False-False-False;seed_run_i:2
train;pos_queries:26;neg_queries:72;ratio_pos_queries:0.27;mrr_mean:0.8229166666666666;mrr_std:0.2808639325565159;rewards_pos_mean:0.4230769230769231;rewards_pos_std:0.49404740687173565;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.11224489795918367;rewards_std:0.31566751629098;episode_len_pos_mean:5.730769230769231;episode_len_pos_std:2.3787147840101888;episode_len_neg_mean:7.0;episode_len_neg_std:1.8708286933869707;episode_len_mean:6.663265306122449;episode_len_std:2.094423487726203;log_probs_pos_mean:-2.214945206275353;log_probs_pos_std:1.534863767226901;log_probs_neg_mean:-2.8021420107947455;log_probs_neg_std:1.1774211148483487;log_probs_mean:-2.646355103473274;log_probs_std:1.307952272440321;auc_pr:0.5120727068851244
valid;pos_queries:24;neg_queries:60;ratio_pos_queries:0.29;mrr_mean:0.7916666666666667;mrr_std:0.31896098681674395;rewards_pos_mean:0.20833333333333334;rewards_pos_std:0.4061164310337068;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.05952380952380952;rewards_std:0.23660246326609272;episode_len_pos_mean:6.0;episode_len_pos_std:1.6583123951777;episode_len_neg_mean:6.7;episode_len_neg_std:1.8734993995195193;episode_len_mean:6.5;episode_len_std:1.8419709940325182;log_probs_pos_mean:-2.852152665456136;log_probs_pos_std:1.525047897346572;log_probs_neg_mean:-3.309565512339274;log_probs_neg_std:1.4955722171672485;log_probs_mean:-3.17887612751552;log_probs_std:1.5181811711981164;auc_pr:0.40580208689071934
test;pos_queries:25;neg_queries:57;ratio_pos_queries:0.3;mrr_mean:0.8070175438596491;mrr_std:0.28747315102059545;rewards_pos_mean:0.16;rewards_pos_std:0.36660605559646714;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.04878048780487805;rewards_std:0.2154088016177524;episode_len_pos_mean:6.4;episode_len_pos_std:2.078460969082653;episode_len_neg_mean:7.052631578947368;episode_len_neg_std:1.8201701542937458;episode_len_mean:6.853658536585366;episode_len_std:1.9262116947933927;log_probs_pos_mean:-3.120005645751953;log_probs_pos_std:1.8220637480327153;log_probs_neg_mean:-3.5674655981231154;log_probs_neg_std:1.6761048038699222;log_probs_mean:-3.4310448809367853;log_probs_std:1.7341934389180724;auc_pr:0.4433970804014422
