train/learning_rate:0.0003;train/entropy_loss:-0.5472517540678382;train/policy_gradient_loss:-0.02921980952960439;train/value_loss:0.12911834595724941;train/approx_kl:0.024127773940563202;train/clip_fraction:0.2048828125;train/loss:0.06667298823595047;train/explained_variance:-0.2026691436767578;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.5263157894736842;eval/std_reward:0.49930699897395464;eval/mean_ep_length:4.7894736842105265;eval/std_ep_length:2.5869906794620015;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.5324124045670032;train/policy_gradient_loss:-0.023267966861021706;train/value_loss:0.1070870653144084;train/approx_kl:0.01802847906947136;train/clip_fraction:0.18828125;train/loss:0.035723425447940826;train/explained_variance:0.15975672006607056;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;corruption_mode:static_rodrigo;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-static_rodrigo-1-False-False-False;seed_run_i:0
train;pos_queries:24;neg_queries:48;ratio_pos_queries:0.33;mrr_mean:0.8263888888888888;mrr_std:0.2741956530888838;rewards_pos_mean:0.6666666666666666;rewards_pos_std:0.4714045207910317;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.2222222222222222;rewards_std:0.41573970964154905;episode_len_pos_mean:4.916666666666667;episode_len_pos_std:2.0395397084200693;episode_len_neg_mean:6.75;episode_len_neg_std:2.665364265286579;episode_len_mean:6.138888888888889;episode_len_std:2.6209919430307487;log_probs_pos_mean:-1.097140868504842;log_probs_pos_std:0.8538785486741194;log_probs_neg_mean:-1.3600568771362305;log_probs_neg_std:0.8733688747962158;log_probs_mean:-1.2724182075924344;log_probs_std:0.8757355341288595;auc_pr:0.5264434237648181
valid;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.7631578947368421;mrr_std:0.31211310306416135;rewards_pos_mean:0.5789473684210527;rewards_pos_std:0.49372797471825575;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.19298245614035087;rewards_std:0.39463936418252615;episode_len_pos_mean:5.315789473684211;episode_len_pos_std:3.5101751580069616;episode_len_neg_mean:7.7368421052631575;episode_len_neg_std:2.172607099005294;episode_len_mean:6.9298245614035086;episode_len_std:2.9251459650058016;log_probs_pos_mean:-1.4553375244140625;log_probs_pos_std:1.4179924235614945;log_probs_neg_mean:-2.0186111550582084;log_probs_neg_std:1.2150604285677558;log_probs_mean:-1.8308532781768263;log_probs_std:1.313388026620001;auc_pr:0.6223227213737377
test;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.6578947368421053;mrr_std:0.2985035004767291;rewards_pos_mean:0.3157894736842105;rewards_pos_std:0.46482951928041294;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.10526315789473684;rewards_std:0.30689220499185793;episode_len_pos_mean:6.368421052631579;episode_len_pos_std:2.1572527928336;episode_len_neg_mean:6.7894736842105265;episode_len_neg_std:1.5071390592922476;episode_len_mean:6.649122807017544;episode_len_std:1.762088355016101;log_probs_pos_mean:-1.4328639381810238;log_probs_pos_std:1.0272213944815949;log_probs_neg_mean:-1.4297080792878802;log_probs_neg_std:0.8089726081992481;log_probs_mean:-1.4307600322522616;log_probs_std:0.887705618348849;auc_pr:0.3719805637606349
