train/learning_rate:0.0003;train/entropy_loss:-0.5530552946031093;train/policy_gradient_loss:-0.014656824828125536;train/value_loss:0.7025213436223566;train/approx_kl:0.013207662850618362;train/clip_fraction:0.13388671875;train/loss:0.1187615916132927;train/explained_variance:-0.2884337902069092;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.631578947368421;eval/std_reward:0.48237638894272;eval/mean_ep_length:4.157894736842105;eval/std_ep_length:1.6307298299820703;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.5445235521532595;train/policy_gradient_loss:-0.02123216017644154;train/value_loss:0.11244052017573267;train/approx_kl:0.01995665952563286;train/clip_fraction:0.17177734375;train/loss:-0.0007470101118087769;train/explained_variance:0.07733595371246338;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;corruption_mode:static_rodrigo;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[2];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-static_rodrigo-1-False-False-False;seed_run_i:2
train;pos_queries:24;neg_queries:48;ratio_pos_queries:0.33;mrr_mean:0.826388888888889;mrr_std:0.2741956530888838;rewards_pos_mean:0.6666666666666666;rewards_pos_std:0.4714045207910317;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.2222222222222222;rewards_std:0.41573970964154905;episode_len_pos_mean:5.583333333333333;episode_len_pos_std:2.6127359010984805;episode_len_neg_mean:7.458333333333333;episode_len_neg_std:2.7760758675191535;episode_len_mean:6.833333333333333;episode_len_std:2.8625940062196116;log_probs_pos_mean:-1.5971542994181316;log_probs_pos_std:1.3878270986553594;log_probs_neg_mean:-2.0296664237976074;log_probs_neg_std:1.2705656902906204;log_probs_mean:-1.8854957156711154;log_probs_std:1.3265807628309805;auc_pr:0.5687072726402976
valid;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.8859649122807017;mrr_std:0.22329687826943606;rewards_pos_mean:0.6842105263157895;rewards_pos_std:0.464829519280413;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.22807017543859648;rewards_std:0.4195880962491718;episode_len_pos_mean:4.368421052631579;episode_len_pos_std:2.252729953582389;episode_len_neg_mean:7.315789473684211;episode_len_neg_std:2.2723192784129367;episode_len_mean:6.333333333333333;episode_len_std:2.657880261670965;log_probs_pos_mean:-1.4298816480134662;log_probs_pos_std:1.0696098286887339;log_probs_neg_mean:-2.4085515674791838;log_probs_neg_std:1.399561364442182;log_probs_mean:-2.0823282609906113;log_probs_std:1.3784216923090082;auc_pr:0.6631603174373717
test;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.8421052631578947;mrr_std:0.2675079067013493;rewards_pos_mean:0.42105263157894735;rewards_pos_std:0.49372797471825575;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.14035087719298245;rewards_std:0.3473506995302339;episode_len_pos_mean:5.7368421052631575;episode_len_pos_std:1.4811839241547673;episode_len_neg_mean:6.894736842105263;episode_len_neg_std:2.1495345112275936;episode_len_mean:6.508771929824562;episode_len_std:2.027207975530427;log_probs_pos_mean:-1.864194769608347;log_probs_pos_std:1.0447334317635324;log_probs_neg_mean:-2.2145543349416634;log_probs_neg_std:1.26191833388534;log_probs_mean:-2.097767813163891;log_probs_std:1.2052908717055277;auc_pr:0.4555642973825681
