train/learning_rate:0.0003;train/entropy_loss:-0.7592873169109225;train/policy_gradient_loss:-0.0215296994370874;train/value_loss:0.0686673522926867;train/approx_kl:0.021448573097586632;train/clip_fraction:0.20234375;train/loss:0.03048831969499588;train/explained_variance:-1.0606539249420166;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.011904761904761904;eval/std_reward:0.10845754260886069;eval/mean_ep_length:6.285714285714286;eval/std_ep_length:1.887120687660415;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.7585657017305494;train/policy_gradient_loss:-0.01635475627699634;train/value_loss:0.06095071978052147;train/approx_kl:0.01734096370637417;train/clip_fraction:0.193798828125;train/loss:-0.015987729653716087;train/explained_variance:0.019464969635009766;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;corruption_mode:static_rodrigo;dataset_name:countries_s3_old;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3_old/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3_old/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3_old;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3_old-transe-PPO-50-20-True-6000-False-static_rodrigo-1-False-False-False;seed_run_i:0
train;pos_queries:26;neg_queries:72;ratio_pos_queries:0.27;mrr_mean:0.6944444444444445;mrr_std:0.33735993893030886;rewards_pos_mean:0.38461538461538464;rewards_pos_std:0.48650425541051995;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.10204081632653061;rewards_std:0.3027019790651291;episode_len_pos_mean:4.8076923076923075;episode_len_pos_std:1.5694004433156281;episode_len_neg_mean:6.125;episode_len_neg_std:1.964529205687714;episode_len_mean:5.775510204081633;episode_len_std:1.9563116704494437;log_probs_pos_mean:-1.643212996996366;log_probs_pos_std:1.1013364685837395;log_probs_neg_mean:-2.295499437385135;log_probs_neg_std:1.237006644154063;log_probs_mean:-2.1224438511595434;log_probs_std:1.2365081448502935;auc_pr:0.4298158146973434
valid;pos_queries:24;neg_queries:60;ratio_pos_queries:0.29;mrr_mean:0.4708333333333333;mrr_std:0.2792288487961085;rewards_pos_mean:0.125;rewards_pos_std:0.33071891388307384;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.03571428571428571;rewards_std:0.18557687223952263;episode_len_pos_mean:5.375;episode_len_pos_std:1.7275343701356567;episode_len_neg_mean:5.8;episode_len_neg_std:1.7492855684535902;episode_len_mean:5.678571428571429;episode_len_std:1.7536405281701313;log_probs_pos_mean:-2.484700163205465;log_probs_pos_std:1.4240427011667314;log_probs_neg_mean:-2.6851941267649333;log_probs_neg_std:1.4165318293564135;log_probs_mean:-2.6279101371765137;log_probs_std:1.421570199160925;auc_pr:0.3942585958478559
test;pos_queries:25;neg_queries:57;ratio_pos_queries:0.3;mrr_mean:0.5263157894736842;mrr_std:0.33008574951275055;rewards_pos_mean:0.24;rewards_pos_std:0.4270831300812524;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.07317073170731707;rewards_std:0.26041654273247095;episode_len_pos_mean:6.04;episode_len_pos_std:2.029384143034531;episode_len_neg_mean:6.894736842105263;episode_len_neg_std:1.7739262680371282;episode_len_mean:6.634146341463414;episode_len_std:1.8968021556315688;log_probs_pos_mean:-2.818066520690918;log_probs_pos_std:1.7195100157563745;log_probs_neg_mean:-3.350819838674445;log_probs_neg_std:1.3936312746584243;log_probs_mean:-3.1883950466062965;log_probs_std:1.520414234808741;auc_pr:0.48724163771643403
