train/learning_rate:0.0003;train/entropy_loss:-0.7521931475959718;train/policy_gradient_loss:-0.021247624717943836;train/value_loss:0.0423779801960336;train/approx_kl:0.02060575783252716;train/clip_fraction:0.201220703125;train/loss:-0.006997685879468918;train/explained_variance:-0.16505968570709229;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.03571428571428571;eval/std_reward:0.18557687223952263;eval/mean_ep_length:6.178571428571429;eval/std_ep_length:2.0363407557354902;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.768781678378582;train/policy_gradient_loss:-0.014718633252050495;train/value_loss:0.04273011397235678;train/approx_kl:0.015640152618288994;train/clip_fraction:0.175830078125;train/loss:-0.001106182113289833;train/explained_variance:0.007951080799102783;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:False;standard_corruptions:False;dataset_name:countries_s3_old;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3_old/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3_old/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[1];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3_old;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3_old-transe-PPO-50-20-True-6000-False-False-1-False-False-False;seed_run_i:1
train;pos_queries:26;neg_queries:72;ratio_pos_queries:0.27;mrr_mean:0.6909722222222222;mrr_std:0.3414626479853043;rewards_pos_mean:0.34615384615384615;rewards_pos_std:0.47574295680203776;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.09183673469387756;rewards_std:0.28879534077724295;episode_len_pos_mean:5.846153846153846;episode_len_pos_std:2.05112178861129;episode_len_neg_mean:6.708333333333333;episode_len_neg_std:1.6703085210689537;episode_len_mean:6.479591836734694;episode_len_std:1.8195625838832956;log_probs_pos_mean:-2.5852525417621317;log_probs_pos_std:1.4950935085503552;log_probs_neg_mean:-2.9628795120451183;log_probs_neg_std:1.2333545285284646;log_probs_mean:-2.8626927648271834;log_probs_std:1.3184935573805086;auc_pr:0.44573446605547257
valid;pos_queries:24;neg_queries:60;ratio_pos_queries:0.29;mrr_mean:0.6083333333333333;mrr_std:0.3313482558678507;rewards_pos_mean:0.08333333333333333;rewards_pos_std:0.2763853991962833;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.023809523809523808;rewards_std:0.1524553389864964;episode_len_pos_mean:5.625;episode_len_pos_std:1.4947825928876748;episode_len_neg_mean:5.8;episode_len_neg_std:1.98997487421324;episode_len_mean:5.75;episode_len_std:1.863656160807107;log_probs_pos_mean:-2.6863214572270713;log_probs_pos_std:1.341992107193935;log_probs_neg_mean:-2.69672958056132;log_probs_neg_std:1.4800103809371234;log_probs_mean:-2.6937558310372487;log_probs_std:1.441932930167446;auc_pr:0.3246565434142212
test;pos_queries:25;neg_queries:57;ratio_pos_queries:0.3;mrr_mean:0.6052631578947368;mrr_std:0.3139566696170751;rewards_pos_mean:0.16;rewards_pos_std:0.36660605559646714;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.04878048780487805;rewards_std:0.2154088016177524;episode_len_pos_mean:5.8;episode_len_pos_std:1.469693845669907;episode_len_neg_mean:6.578947368421052;episode_len_neg_std:1.4259175983309544;episode_len_mean:6.341463414634147;episode_len_std:1.4834001170278017;log_probs_pos_mean:-2.5331608200073243;log_probs_pos_std:1.106529492222461;log_probs_neg_mean:-2.948205312093099;log_probs_neg_std:0.9297842286709065;log_probs_mean:-2.8216673571888995;log_probs_std:1.0053526910329198;auc_pr:0.5031548462456998
