train/learning_rate:0.0003;train/entropy_loss:-0.5352850126102566;train/policy_gradient_loss:-0.014786412732792086;train/value_loss:0.07792956617777236;train/approx_kl:0.02323201857507229;train/clip_fraction:0.159033203125;train/loss:-0.0010275021195411682;train/explained_variance:-0.07009375095367432;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.11290322580645161;eval/std_reward:0.31647446565078363;eval/mean_ep_length:6.548387096774194;eval/std_ep_length:2.3669595261734377;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.5440448870882392;train/policy_gradient_loss:-0.011292852502811002;train/value_loss:0.046342155869933774;train/approx_kl:0.018512466922402382;train/clip_fraction:0.141259765625;train/loss:-0.0009719505906105042;train/explained_variance:0.2746773958206177;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:True;standard_corruptions:False;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_label_corruptions.json;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:True;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-True-1-False-False-True;seed_run_i:0
train;pos_queries:33;neg_queries:48;ratio_pos_queries:0.41;mrr_mean:0.9166666666666666;mrr_std:0.22047927592204922;rewards_pos_mean:0.5454545454545454;rewards_pos_std:0.4979295977319692;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.2222222222222222;rewards_std:0.4157397096415491;episode_len_pos_mean:5.424242424242424;episode_len_pos_std:3.676545669843176;episode_len_neg_mean:8.458333333333334;episode_len_neg_std:2.3713422125220327;episode_len_mean:7.222222222222222;episode_len_std:3.3259176771323924;log_probs_pos_mean:-1.6835634636156487;log_probs_pos_std:1.8858482999267532;log_probs_neg_mean:-2.9804761012395224;log_probs_neg_std:1.5097301970005943;log_probs_mean:-2.4521042859112776;log_probs_std:1.7904402474550427;auc_pr:0.7627623787643601
valid;pos_queries:24;neg_queries:38;ratio_pos_queries:0.39;mrr_mean:0.8596491228070174;mrr_std:0.23732893435909969;rewards_pos_mean:0.3333333333333333;rewards_pos_std:0.4714045207910317;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.12903225806451613;rewards_std:0.3352356401746214;episode_len_pos_mean:5.333333333333333;episode_len_pos_std:2.9249881291307074;episode_len_neg_mean:7.157894736842105;episode_len_neg_std:1.7400289741912147;episode_len_mean:6.451612903225806;episode_len_std:2.4407654758744446;log_probs_pos_mean:-1.9554883639017742;log_probs_pos_std:1.5928446103638976;log_probs_neg_mean:-2.9294544019197164;log_probs_neg_std:1.2948868593663307;log_probs_mean:-2.5524352904289;log_probs_std:1.4949444635391338;auc_pr:0.6602878986953629
test;pos_queries:24;neg_queries:38;ratio_pos_queries:0.39;mrr_mean:0.8421052631578947;mrr_std:0.2675079067013493;rewards_pos_mean:0.125;rewards_pos_std:0.33071891388307384;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.04838709677419355;rewards_std:0.21458281767177537;episode_len_pos_mean:6.5;episode_len_pos_std:1.848422751068236;episode_len_neg_mean:7.157894736842105;episode_len_neg_std:2.17069375024224;episode_len_mean:6.903225806451613;episode_len_std:2.0768282068154673;log_probs_pos_mean:-2.168606917063395;log_probs_pos_std:1.1263166450689206;log_probs_neg_mean:-2.4372411025197884;log_probs_neg_std:1.1937366503488964;log_probs_mean:-2.3332536758915072;log_probs_std:1.1754060905971546;auc_pr:0.49529483916730405
