train/learning_rate:0.0003;train/entropy_loss:-0.5545540684834123;train/policy_gradient_loss:-0.01948394183855271;train/value_loss:0.03991119692800567;train/approx_kl:0.02314440906047821;train/clip_fraction:0.16787109375;train/loss:-0.0020526647567749023;train/explained_variance:-0.5746359825134277;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.47368421052631576;eval/std_reward:0.49930699897395464;eval/mean_ep_length:5.2105263157894735;eval/std_ep_length:2.8205812646261608;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.5428540335036814;train/policy_gradient_loss:-0.00930404758255463;train/value_loss:0.03302281989454059;train/approx_kl:0.010857107117772102;train/clip_fraction:0.137890625;train/loss:-0.011340364813804626;train/explained_variance:-0.02841949462890625;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:3;limit_space:False;corruption_mode:static;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_label_corruptions.json;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-static-3-False-False-False;seed_run_i:0
train;pos_queries:24;neg_queries:48;ratio_pos_queries:0.33;mrr_mean:0.7777777777777777;mrr_std:0.29133579115837543;rewards_pos_mean:0.5416666666666666;rewards_pos_std:0.4982608642958916;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.18055555555555555;rewards_std:0.38464951178128415;episode_len_pos_mean:5.25;episode_len_pos_std:2.025874296857203;episode_len_neg_mean:6.666666666666667;episode_len_neg_std:1.7950549357115013;episode_len_mean:6.194444444444445;episode_len_std:1.990525397482959;log_probs_pos_mean:-1.5473140875498455;log_probs_pos_std:1.0188572915367613;log_probs_neg_mean:-1.9181276559829712;log_probs_neg_std:0.9878694491515883;log_probs_mean:-1.7945231331719294;log_probs_std:1.0134940792472713;auc_pr:0.5052184175667706
valid;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.7807017543859649;mrr_std:0.29146048641817807;rewards_pos_mean:0.5789473684210527;rewards_pos_std:0.49372797471825575;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.19298245614035087;rewards_std:0.3946393641825261;episode_len_pos_mean:5.7368421052631575;episode_len_pos_std:3.682706459902295;episode_len_neg_mean:7.894736842105263;episode_len_neg_std:2.927091907680911;episode_len_mean:7.175438596491228;episode_len_std:3.356704769993375;log_probs_pos_mean:-2.0868717996697677;log_probs_pos_std:1.8027639076813966;log_probs_neg_mean:-2.8384885286030017;log_probs_neg_std:1.6948521463723834;log_probs_mean:-2.58794961895859;log_probs_std:1.767448610704114;auc_pr:0.5811185319431742
test;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.7456140350877193;mrr_std:0.30285397371284334;rewards_pos_mean:0.42105263157894735;rewards_pos_std:0.49372797471825575;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.14035087719298245;rewards_std:0.3473506995302339;episode_len_pos_mean:6.894736842105263;episode_len_pos_std:2.2917411639028678;episode_len_neg_mean:8.0;episode_len_neg_std:3.0;episode_len_mean:7.631578947368421;episode_len_std:2.832341904647097;log_probs_pos_mean:-2.2823434127004525;log_probs_pos_std:1.4384359770929707;log_probs_neg_mean:-2.626223413567794;log_probs_neg_std:1.8033428626573287;log_probs_mean:-2.5115967466120135;log_probs_std:1.6982367971373542;auc_pr:0.4280610476932733
