train/learning_rate:0.0003;train/entropy_loss:-0.5642844345420599;train/policy_gradient_loss:-0.02171180080185877;train/value_loss:0.07358694779104553;train/approx_kl:0.022923868149518967;train/clip_fraction:0.180908203125;train/loss:0.03009236976504326;train/explained_variance:-0.35972583293914795;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.631578947368421;eval/std_reward:0.48237638894272;eval/mean_ep_length:5.105263157894737;eval/std_ep_length:2.6336833690940638;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.49787255357950927;train/policy_gradient_loss:-0.0137289506936213;train/value_loss:0.07750385074759833;train/approx_kl:0.013891108334064484;train/clip_fraction:0.14765625;train/loss:0.011552371084690094;train/explained_variance:0.042445600032806396;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;corruption_mode:static;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_label_corruptions.json;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-static-1-False-False-False;seed_run_i:0
train;pos_queries:24;neg_queries:48;ratio_pos_queries:0.33;mrr_mean:0.6527777777777777;mrr_std:0.3224496323956639;rewards_pos_mean:0.625;rewards_pos_std:0.4841229182759271;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.20833333333333334;rewards_std:0.40611643103370676;episode_len_pos_mean:5.0;episode_len_pos_std:1.8257418583505538;episode_len_neg_mean:6.833333333333333;episode_len_neg_std:2.266911751455907;episode_len_mean:6.222222222222222;episode_len_std:2.2986845406196887;log_probs_pos_mean:-1.2110620339711506;log_probs_pos_std:0.874581381809081;log_probs_neg_mean:-1.554113547007243;log_probs_neg_std:0.8971472302276188;log_probs_mean:-1.4397630426618788;log_probs_std:0.9042667611351369;auc_pr:0.5300194529349356
valid;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.7982456140350876;mrr_std:0.29901860612384756;rewards_pos_mean:0.6842105263157895;rewards_pos_std:0.464829519280413;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.22807017543859648;rewards_std:0.4195880962491718;episode_len_pos_mean:5.2105263157894735;episode_len_pos_std:2.744927328506378;episode_len_neg_mean:7.631578947368421;episode_len_neg_std:2.1078930941579777;episode_len_mean:6.824561403508772;episode_len_std:2.6031209811917764;log_probs_pos_mean:-1.5815343354877673;log_probs_pos_std:1.2079179857574438;log_probs_neg_mean:-2.1410741304096423;log_probs_neg_std:0.9720786643016733;log_probs_mean:-1.9545608654356839;log_probs_std:1.0889846811847028;auc_pr:0.6097208161638079
test;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.7543859649122806;mrr_std:0.29304022962263276;rewards_pos_mean:0.47368421052631576;rewards_pos_std:0.49930699897395464;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.15789473684210525;rewards_std:0.36464227527765836;episode_len_pos_mean:6.368421052631579;episode_len_pos_std:1.5963948303266422;episode_len_neg_mean:7.368421052631579;episode_len_neg_std:2.2410177743203965;episode_len_mean:7.035087719298246;episode_len_std:2.1023371479221393;log_probs_pos_mean:-1.9540310909873562;log_probs_pos_std:1.1202360091585128;log_probs_neg_mean:-2.052689000179893;log_probs_neg_std:1.2024640864719272;log_probs_mean:-2.0198030304490473;log_probs_std:1.1766134166547304;auc_pr:0.4269387640060744
