train/learning_rate:0.0003;train/entropy_loss:-0.7868421932682395;train/policy_gradient_loss:-0.018292768887476996;train/value_loss:0.08077541725942865;train/approx_kl:0.016389213502407074;train/clip_fraction:0.198486328125;train/loss:0.029627405107021332;train/explained_variance:-0.06269752979278564;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.011904761904761904;eval/std_reward:0.10845754260886069;eval/mean_ep_length:6.142857142857143;eval/std_ep_length:1.505093393264677;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.7872608137317002;train/policy_gradient_loss:-0.017792625061701983;train/value_loss:0.05666628063772805;train/approx_kl:0.01864413544535637;train/clip_fraction:0.194287109375;train/loss:0.02193697914481163;train/explained_variance:0.04446446895599365;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:False;standard_corruptions:False;dataset_name:countries_s3_old;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3_old/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3_old/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3_old;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3_old-transe-PPO-50-20-True-6000-False-False-1-False-False-False;seed_run_i:0
train;pos_queries:26;neg_queries:72;ratio_pos_queries:0.27;mrr_mean:0.829861111111111;mrr_std:0.2705438267478266;rewards_pos_mean:0.5769230769230769;rewards_pos_std:0.49404740687173565;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.15306122448979592;rewards_std:0.360046505395456;episode_len_pos_mean:5.269230769230769;episode_len_pos_std:1.89244840002193;episode_len_neg_mean:7.416666666666667;episode_len_neg_std:2.2530843057659626;episode_len_mean:6.846938775510204;episode_len_std:2.3619087784849384;log_probs_pos_mean:-2.2807259055284352;log_probs_pos_std:1.4448895028954472;log_probs_neg_mean:-3.5757667660299273;log_probs_neg_std:1.604009221560715;log_probs_mean:-3.2321844969172866;log_probs_std:1.6646438949528188;auc_pr:0.5027714502296138
valid;pos_queries:24;neg_queries:60;ratio_pos_queries:0.29;mrr_mean:0.575;mrr_std:0.32048140871715686;rewards_pos_mean:0.125;rewards_pos_std:0.33071891388307384;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.03571428571428571;rewards_std:0.18557687223952263;episode_len_pos_mean:6.25;episode_len_pos_std:1.5612494995995996;episode_len_neg_mean:6.85;episode_len_neg_std:1.681517172080024;episode_len_mean:6.678571428571429;episode_len_std:1.670191850155703;log_probs_pos_mean:-3.1207337932040295;log_probs_pos_std:1.4384052845127633;log_probs_neg_mean:-3.6531679714719454;log_probs_neg_std:1.4488732510692774;log_probs_mean:-3.501043920538255;log_probs_std:1.4657600775032877;auc_pr:0.4594941604393696
test;pos_queries:25;neg_queries:57;ratio_pos_queries:0.3;mrr_mean:0.75;mrr_std:0.33113308926626095;rewards_pos_mean:0.28;rewards_pos_std:0.448998886412873;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.08536585365853659;rewards_std:0.2794253472534049;episode_len_pos_mean:6.28;episode_len_pos_std:1.7554486605993354;episode_len_neg_mean:7.2631578947368425;episode_len_neg_std:1.5163010832513613;episode_len_mean:6.963414634146342;episode_len_std:1.656068824061894;log_probs_pos_mean:-3.0434703254699706;log_probs_pos_std:1.3053511286273567;log_probs_neg_mean:-3.7668379430185284;log_probs_neg_std:1.041181904690934;log_probs_mean:-3.546299035229334;log_probs_std:1.1764103917962139;auc_pr:0.5084239272091912
