train/learning_rate:0.0003;train/entropy_loss:-0.5340782964602113;train/policy_gradient_loss:-0.018211237165814964;train/value_loss:0.06989629380404949;train/approx_kl:0.02955937758088112;train/clip_fraction:0.17470703125;train/loss:0.012729035690426826;train/explained_variance:-0.04343867301940918;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.11290322580645161;eval/std_reward:0.31647446565078363;eval/mean_ep_length:6.483870967741935;eval/std_ep_length:2.3261621132025736;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.4993828309699893;train/policy_gradient_loss:-0.010514567021164111;train/value_loss:0.04119137719972059;train/approx_kl:0.015260354615747929;train/clip_fraction:0.14072265625;train/loss:0.001027457881718874;train/explained_variance:0.3850805163383484;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:True;standard_corruptions:False;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_label_corruptions.json;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-True-1-False-False-False;seed_run_i:0
train;pos_queries:33;neg_queries:48;ratio_pos_queries:0.41;mrr_mean:0.7430555555555555;mrr_std:0.28455279511872056;rewards_pos_mean:0.42424242424242425;rewards_pos_std:0.4942274675848512;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.1728395061728395;rewards_std:0.3781084649657667;episode_len_pos_mean:6.212121212121212;episode_len_pos_std:2.9517080392450716;episode_len_neg_mean:8.25;episode_len_neg_std:2.066599461272874;episode_len_mean:7.419753086419753;episode_len_std:2.6614031272432874;log_probs_pos_mean:-1.7284110098174124;log_probs_pos_std:1.4665866260962035;log_probs_neg_mean:-2.5014153718948364;log_probs_neg_std:1.0040393895694428;log_probs_mean:-2.1864876688262562;log_probs_std:1.271980214651839;auc_pr:0.6862325930865938
valid;pos_queries:24;neg_queries:38;ratio_pos_queries:0.39;mrr_mean:0.5526315789473685;mrr_std:0.2421433989796888;rewards_pos_mean:0.125;rewards_pos_std:0.33071891388307384;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.04838709677419355;rewards_std:0.21458281767177537;episode_len_pos_mean:6.416666666666667;episode_len_pos_std:1.7775607506417952;episode_len_neg_mean:6.684210526315789;episode_len_neg_std:1.4161709523235482;episode_len_mean:6.580645161290323;episode_len_std:1.5714015430733679;log_probs_pos_mean:-1.9855377276738484;log_probs_pos_std:1.0753503859163738;log_probs_neg_mean:-2.0816381856014856;log_probs_neg_std:0.9254879326687202;log_probs_mean:-2.044438008339174;log_probs_std:0.9873146361593245;auc_pr:0.470296636991882
test;pos_queries:24;neg_queries:38;ratio_pos_queries:0.39;mrr_mean:0.47368421052631576;mrr_std:0.19692933614599695;rewards_pos_mean:0.0;rewards_pos_std:0.0;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.0;rewards_std:0.0;episode_len_pos_mean:6.833333333333333;episode_len_pos_std:1.2801909579781012;episode_len_neg_mean:6.473684210526316;episode_len_neg_std:1.3521297451226453;episode_len_mean:6.612903225806452;episode_len_std:1.336278398529547;log_probs_pos_mean:-2.092540661493937;log_probs_pos_std:1.0869169239412595;log_probs_neg_mean:-1.8443898150795384;log_probs_neg_std:1.003577785620305;log_probs_mean:-1.940448207239951;log_probs_std:1.0436561402835172;auc_pr:0.36885579057531215
