train/learning_rate:0.0003;train/entropy_loss:-0.7681292685680091;train/policy_gradient_loss:-0.0277876594409463;train/value_loss:0.08203392321593128;train/approx_kl:0.025041095912456512;train/clip_fraction:0.201904296875;train/loss:0.013024460524320602;train/explained_variance:-0.10971105098724365;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.023809523809523808;eval/std_reward:0.1524553389864964;eval/mean_ep_length:6.678571428571429;eval/std_ep_length:2.1222220738207973;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.7704268576577306;train/policy_gradient_loss:-0.02840487884459435;train/value_loss:0.05863306942628697;train/approx_kl:0.021445011720061302;train/clip_fraction:0.225048828125;train/loss:-0.033510491251945496;train/explained_variance:0.14185357093811035;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:True;standard_corruptions:False;dataset_name:countries_s3_old;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_label_corruptions.json;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3_old/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3_old/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3_old;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3_old-transe-PPO-50-20-True-6000-False-True-1-False-False-False;seed_run_i:0
train;pos_queries:26;neg_queries:72;ratio_pos_queries:0.27;mrr_mean:0.6354166666666666;mrr_std:0.3144039223497202;rewards_pos_mean:0.23076923076923078;rewards_pos_std:0.42132504423474315;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.061224489795918366;rewards_std:0.23974163519328026;episode_len_pos_mean:5.730769230769231;episode_len_pos_std:1.89244840002193;episode_len_neg_mean:6.333333333333333;episode_len_neg_std:1.7480147469502525;episode_len_mean:6.173469387755102;episode_len_std:1.8071598542627072;log_probs_pos_mean:-2.2816103238325853;log_probs_pos_std:1.005507236841151;log_probs_neg_mean:-2.7008800440364413;log_probs_neg_std:1.1733925183073692;log_probs_mean:-2.5896452203088876;log_probs_std:1.1463262409095303;auc_pr:0.3381451676395573
valid;pos_queries:24;neg_queries:60;ratio_pos_queries:0.29;mrr_mean:0.6583333333333333;mrr_std:0.34550687402713137;rewards_pos_mean:0.25;rewards_pos_std:0.4330127018922193;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.07142857142857142;rewards_std:0.2575393768188563;episode_len_pos_mean:5.875;episode_len_pos_std:1.6909686573085854;episode_len_neg_mean:7.0;episode_len_neg_std:1.6431676725154984;episode_len_mean:6.678571428571429;episode_len_std:1.7331550797929898;log_probs_pos_mean:-2.758620798587799;log_probs_pos_std:1.2837430341668175;log_probs_neg_mean:-3.3713889678319293;log_probs_neg_std:1.3245711351967708;log_probs_mean:-3.196312348047892;log_probs_std:1.3418985865150987;auc_pr:0.41696155741269847
test;pos_queries:25;neg_queries:57;ratio_pos_queries:0.3;mrr_mean:0.6271929824561403;mrr_std:0.3549652205315493;rewards_pos_mean:0.28;rewards_pos_std:0.44899888641287294;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.08536585365853659;rewards_std:0.2794253472534049;episode_len_pos_mean:6.4;episode_len_pos_std:2.6832815729997477;episode_len_neg_mean:7.2105263157894735;episode_len_neg_std:2.166222697605966;episode_len_mean:6.963414634146342;episode_len_std:2.365633633218616;log_probs_pos_mean:-3.0149496841430663;log_probs_pos_std:1.7300181773267744;log_probs_neg_mean:-3.276209889796742;log_probs_neg_std:1.4066738546106707;log_probs_mean:-3.1965573880730607;log_probs_std:1.517370679963797;auc_pr:0.3714077421646445
