
All data;train_neg_pos_ratio:1;limit_space:False;dynamic_neg:True;standard_corruptions:False;dataset_name:countries_s3_old;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_label_corruptions.json;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3_old/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3_old/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[0];restore_best_val_model:False;load_model:True;save_model:True;models_path:models/countries_s3_old;timesteps_train:50000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3_old-transe-PPO-50-20-True-50000-False-True-1-False-False-False;seed_run_i:0
train;pos_queries:26;neg_queries:72;ratio_pos_queries:0.27;mrr_mean:1.0;mrr_std:0.0;rewards_pos_mean:0.7692307692307693;rewards_pos_std:0.42132504423474315;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.20408163265306123;rewards_std:0.40302893179860205;episode_len_pos_mean:5.5;episode_len_pos_std:2.2403639814170306;episode_len_neg_mean:8.125;episode_len_neg_std:2.5708704751503917;episode_len_mean:7.428571428571429;episode_len_std:2.744196101756935;log_probs_pos_mean:-1.0460598933009;log_probs_pos_std:0.6641940571774214;log_probs_neg_mean:-2.633052779775527;log_probs_neg_std:0.8210805798856483;log_probs_mean:-2.21201385071083;log_probs_std:1.0503636536193472;auc_pr:0.8590007292818171
valid;pos_queries:24;neg_queries:60;ratio_pos_queries:0.29;mrr_mean:0.8666666666666666;mrr_std:0.2333333333333334;rewards_pos_mean:0.3333333333333333;rewards_pos_std:0.4714045207910317;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.09523809523809523;rewards_std:0.2935435239509036;episode_len_pos_mean:7.5;episode_len_pos_std:2.692582403567252;episode_len_neg_mean:9.2;episode_len_neg_std:2.6758176320519302;episode_len_mean:8.714285714285714;episode_len_std:2.788460185134734;log_probs_pos_mean:-1.9976662422219913;log_probs_pos_std:1.3019011471127473;log_probs_neg_mean:-3.10318246781826;log_probs_neg_std:1.2256771260450745;log_probs_mean:-2.787320689076469;log_probs_std:1.344154906436504;auc_pr:0.6671677819586255
test;pos_queries:25;neg_queries:57;ratio_pos_queries:0.3;mrr_mean:0.7807017543859649;mrr_std:0.29146048641817807;rewards_pos_mean:0.4;rewards_pos_std:0.48989794855663565;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.12195121951219512;rewards_std:0.32722946012192045;episode_len_pos_mean:6.16;episode_len_pos_std:2.3268863315598383;episode_len_neg_mean:7.7368421052631575;episode_len_neg_std:2.2674378135303175;episode_len_mean:7.2560975609756095;episode_len_std:2.398225846327666;log_probs_pos_mean:-1.4960124024748802;log_probs_pos_std:1.1356288442507783;log_probs_neg_mean:-2.706587021549543;log_probs_neg_std:1.187397179415632;log_probs_mean:-2.3375093937828773;log_probs_std:1.2976229760134073;auc_pr:0.6683428842825263
