train/learning_rate:0.0003;train/entropy_loss:-0.5410964804701507;train/policy_gradient_loss:-0.02115706457552733;train/value_loss:0.2438424032414332;train/approx_kl:0.023684965446591377;train/clip_fraction:0.188671875;train/loss:0.0663631334900856;train/explained_variance:-0.08695733547210693;train/n_updates:10;train/clip_range:0.2
eval/mean_reward:0.631578947368421;eval/std_reward:0.48237638894272;eval/mean_ep_length:4.894736842105263;eval/std_ep_length:2.6336833690940638;eval/num_timesteps:5000
train/learning_rate:0.0003;train/entropy_loss:-0.48718188116326927;train/policy_gradient_loss:-0.020634249682188965;train/value_loss:0.1253018640447408;train/approx_kl:0.01887337863445282;train/clip_fraction:0.15634765625;train/loss:0.029918789863586426;train/explained_variance:0.23430854082107544;train/n_updates:20;train/clip_range:0.2

All data;train_neg_pos_ratio:1;limit_space:False;corruption_mode:static_rodrigo;dataset_name:countries_s3;data_path:./data/;domain_file:None;janus_file:train.pl;train_file:train_queries.txt;valid_file:valid_queries.txt;test_file:test_queries.txt;dynamic_consult:False;learn_embeddings:True;kge:transe;model_name:PPO;atom_embedding_size:50;constant_embedding_size:50;predicate_embedding_size:50;constant_emb_file:./data/countries_s3/constant_embeddings.pkl;predicate_emb_file:./data/countries_s3/predicate_embeddings.pkl;rule_depend_var:False;variable_no:500;device:cpu;seed:[3];restore_best_val_model:False;load_model:False;save_model:True;models_path:models/countries_s3;timesteps_train:6000;n_epochs:10;n_steps:2048;eval_freq:5000;batch_size:64;lr:0.0003;max_depth:20;run_signature:countries_s3-transe-PPO-50-20-True-6000-False-static_rodrigo-1-False-False-False;seed_run_i:3
train;pos_queries:24;neg_queries:48;ratio_pos_queries:0.33;mrr_mean:0.8194444444444443;mrr_std:0.2587213334749605;rewards_pos_mean:0.6666666666666666;rewards_pos_std:0.4714045207910317;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.2222222222222222;rewards_std:0.41573970964154905;episode_len_pos_mean:5.25;episode_len_pos_std:2.25924028528766;episode_len_neg_mean:6.666666666666667;episode_len_neg_std:2.0949675149960894;episode_len_mean:6.194444444444445;episode_len_std:2.252399269475952;log_probs_pos_mean:-1.211634914080302;log_probs_pos_std:1.0218371260366557;log_probs_neg_mean:-1.3929259181022644;log_probs_neg_std:0.8949292750565414;log_probs_mean:-1.332495583428277;log_probs_std:0.9430197733780855;auc_pr:0.555423503229392
valid;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.7894736842105263;mrr_std:0.28015297232756686;rewards_pos_mean:0.7894736842105263;rewards_pos_std:0.40768245749551757;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.2631578947368421;rewards_std:0.4403473823863556;episode_len_pos_mean:4.578947368421052;episode_len_pos_std:2.4776004833557517;episode_len_neg_mean:7.315789473684211;episode_len_neg_std:1.5577524828367098;episode_len_mean:6.4035087719298245;episode_len_std:2.30833462503839;log_probs_pos_mean:-1.6285598654496043;log_probs_pos_std:1.214957800353793;log_probs_neg_mean:-2.2584369935487447;log_probs_neg_std:0.9498499852469336;log_probs_mean:-2.048477950849031;log_probs_std:1.0870524739336809;auc_pr:0.6056825283992466
test;pos_queries:19;neg_queries:38;ratio_pos_queries:0.33;mrr_mean:0.7456140350877193;mrr_std:0.2723539420396496;rewards_pos_mean:0.7368421052631579;rewards_pos_std:0.44034738238635557;rewards_neg_mean:0.0;rewards_neg_std:0.0;rewards_mean:0.24561403508771928;rewards_std:0.4304506718029929;episode_len_pos_mean:7.0;episode_len_pos_std:2.1521103473958814;episode_len_neg_mean:8.842105263157896;episode_len_neg_std:2.218656727195578;episode_len_mean:8.228070175438596;episode_len_std:2.3621098497834154;log_probs_pos_mean:-2.360232252823679;log_probs_pos_std:0.9871653835367223;log_probs_neg_mean:-2.67092638266714;log_probs_neg_std:0.910631989057994;log_probs_mean:-2.56736167271932;log_probs_std:0.9482177366554755;auc_pr:0.5408853641993918
