sep=;
dataset_name;eval_neg_samples;test_neg_samples;train_depth;valid_depth;test_depth;n_train_queries;n_eval_queries;n_test_queries;prob_facts;topk_facts;topk_facts_threshold;model_name;ent_coef;clip_range;n_epochs;lr;gamma;clip_range_vf;target_kl;seed;timesteps_train;restore_best_val_model;load_model;save_model;n_envs;n_steps;n_eval_envs;batch_size;eval_freq;reward_type;train_neg_ratio;engine;engine_strategy;endf_action;endt_action;skip_unary_actions;max_depth;memory_pruning;corruption_mode;false_rules;ent_coef_decay;ent_coef_init_value;ent_coef_final_value;ent_coef_start;ent_coef_end;ent_coef_transform;lr_decay;lr_init_value;lr_final_value;lr_start;lr_end;lr_transform;eval_hybrid_success_only;eval_hybrid_kge_weight;eval_hybrid_rl_weight;atom_embedder;state_embedder;atom_embedding_size;learn_embeddings;padding_atoms;padding_states;max_total_vars;verbose;prover_verbose;device;min_gpu_memory_gb;extended_eval_info;eval_best_metric;plot;data_path;models_path;rules_file;facts_file;use_logger;logger_path;use_wb;wb_path;deterministic;deterministic_parity;use_compile;canonical_action_order;kge_action;logit_fusion;inference_fusion;inference_success_only;pbrs;enable_top_k;pbrs_beta;pbrs_gamma;top_k_value;annealing_specs;annealing;kge_engine;kge_run_signature;corruption_scheme;janus_file;train_file;valid_file;test_file;state_embedding_size;constant_embedding_size;predicate_embedding_size;run_signature;seed_run_i;train_mrr_mean;train_hits1_mean;train_hits3_mean;train_hits10_mean;train_mrr_head_mean;train_mrr_tail_mean;train_hits1_head_mean;train_hits1_tail_mean;train_hits3_head_mean;train_hits3_tail_mean;train_hits10_head_mean;train_hits10_tail_mean;train_average_precision;train_rewards_pos_mean;train_rewards_pos_std;train_rewards_neg_mean;train_rewards_neg_std;train_episode_len_pos_mean;train_episode_len_pos_std;train_episode_len_neg_mean;train_episode_len_neg_std;train_log_probs_pos_mean;train_log_probs_pos_std;train_log_probs_neg_mean;train_log_probs_neg_std;train_episode_len_pos_true_mean;train_episode_len_pos_true_std;train_episode_len_pos_false_mean;train_episode_len_pos_false_std;train_episode_len_neg_true_mean;train_episode_len_neg_true_std;train_episode_len_neg_false_mean;train_episode_len_neg_false_std;train_reward_d_1_pos_mean;train_reward_d_1_pos_std;train_reward_d_1_pos_count;train_reward_d_2_pos_mean;train_reward_d_2_pos_std;train_reward_d_2_pos_count;train_reward_d_3_pos_mean;train_reward_d_3_pos_std;train_reward_d_3_pos_count;train_reward_d_4_pos_mean;train_reward_d_4_pos_std;train_reward_d_4_pos_count;train_reward_d_6_pos_mean;train_reward_d_6_pos_std;train_reward_d_6_pos_count;train_proven_d_1_pos_mean;train_proven_d_1_pos_std;train_proven_d_1_pos_count;train_proven_d_2_pos_mean;train_proven_d_2_pos_std;train_proven_d_2_pos_count;train_proven_d_3_pos_mean;train_proven_d_3_pos_std;train_proven_d_3_pos_count;train_proven_d_4_pos_mean;train_proven_d_4_pos_std;train_proven_d_4_pos_count;train_proven_d_6_pos_mean;train_proven_d_6_pos_std;train_proven_d_6_pos_count;train_proven_d_unknown_neg_mean;train_proven_d_unknown_neg_std;train_proven_d_unknown_neg_count;train_proven_pos_mean;train_proven_pos_std;train_proven_pos_count;train_proven_neg_mean;train_proven_neg_std;train_proven_neg_count;valid_mrr_mean;valid_hits1_mean;valid_hits3_mean;valid_hits10_mean;valid_mrr_head_mean;valid_mrr_tail_mean;valid_hits1_head_mean;valid_hits1_tail_mean;valid_hits3_head_mean;valid_hits3_tail_mean;valid_hits10_head_mean;valid_hits10_tail_mean;valid_average_precision;valid_rewards_pos_mean;valid_rewards_pos_std;valid_rewards_neg_mean;valid_rewards_neg_std;valid_episode_len_pos_mean;valid_episode_len_pos_std;valid_episode_len_neg_mean;valid_episode_len_neg_std;valid_log_probs_pos_mean;valid_log_probs_pos_std;valid_log_probs_neg_mean;valid_log_probs_neg_std;valid_episode_len_pos_true_mean;valid_episode_len_pos_true_std;valid_episode_len_pos_false_mean;valid_episode_len_pos_false_std;valid_episode_len_neg_true_mean;valid_episode_len_neg_true_std;valid_episode_len_neg_false_mean;valid_episode_len_neg_false_std;valid_reward_d_1_pos_mean;valid_reward_d_1_pos_std;valid_reward_d_1_pos_count;valid_reward_d_2_pos_mean;valid_reward_d_2_pos_std;valid_reward_d_2_pos_count;valid_reward_d_3_pos_mean;valid_reward_d_3_pos_std;valid_reward_d_3_pos_count;valid_reward_d_4_pos_mean;valid_reward_d_4_pos_std;valid_reward_d_4_pos_count;valid_reward_d_6_pos_mean;valid_reward_d_6_pos_std;valid_reward_d_6_pos_count;valid_proven_d_1_pos_mean;valid_proven_d_1_pos_std;valid_proven_d_1_pos_count;valid_proven_d_2_pos_mean;valid_proven_d_2_pos_std;valid_proven_d_2_pos_count;valid_proven_d_3_pos_mean;valid_proven_d_3_pos_std;valid_proven_d_3_pos_count;valid_proven_d_4_pos_mean;valid_proven_d_4_pos_std;valid_proven_d_4_pos_count;valid_proven_d_6_pos_mean;valid_proven_d_6_pos_std;valid_proven_d_6_pos_count;valid_proven_d_unknown_neg_mean;valid_proven_d_unknown_neg_std;valid_proven_d_unknown_neg_count;valid_proven_pos_mean;valid_proven_pos_std;valid_proven_pos_count;valid_proven_neg_mean;valid_proven_neg_std;valid_proven_neg_count;test_mrr_mean;test_hits1_mean;test_hits3_mean;test_hits10_mean;test_mrr_head_mean;test_mrr_tail_mean;test_hits1_head_mean;test_hits1_tail_mean;test_hits3_head_mean;test_hits3_tail_mean;test_hits10_head_mean;test_hits10_tail_mean;test_average_precision;test_rewards_pos_mean;test_rewards_pos_std;test_rewards_neg_mean;test_rewards_neg_std;test_episode_len_pos_mean;test_episode_len_pos_std;test_episode_len_neg_mean;test_episode_len_neg_std;test_log_probs_pos_mean;test_log_probs_pos_std;test_log_probs_neg_mean;test_log_probs_neg_std;test_episode_len_pos_true_mean;test_episode_len_pos_true_std;test_episode_len_pos_false_mean;test_episode_len_pos_false_std;test_episode_len_neg_true_mean;test_episode_len_neg_true_std;test_episode_len_neg_false_mean;test_episode_len_neg_false_std;test_reward_d_1_pos_mean;test_reward_d_1_pos_std;test_reward_d_1_pos_count;test_reward_d_2_pos_mean;test_reward_d_2_pos_std;test_reward_d_2_pos_count;test_reward_d_3_pos_mean;test_reward_d_3_pos_std;test_reward_d_3_pos_count;test_reward_d_4_pos_mean;test_reward_d_4_pos_std;test_reward_d_4_pos_count;test_reward_d_6_pos_mean;test_reward_d_6_pos_std;test_reward_d_6_pos_count;test_proven_d_1_pos_mean;test_proven_d_1_pos_std;test_proven_d_1_pos_count;test_proven_d_2_pos_mean;test_proven_d_2_pos_std;test_proven_d_2_pos_count;test_proven_d_3_pos_mean;test_proven_d_3_pos_std;test_proven_d_3_pos_count;test_proven_d_4_pos_mean;test_proven_d_4_pos_std;test_proven_d_4_pos_count;test_proven_d_6_pos_mean;test_proven_d_6_pos_std;test_proven_d_6_pos_count;test_proven_d_unknown_neg_mean;test_proven_d_unknown_neg_std;test_proven_d_unknown_neg_count;test_proven_pos_mean;test_proven_pos_std;test_proven_pos_count;test_proven_neg_mean;test_proven_neg_std;test_proven_neg_count
countries_s3;None;None;None;None;None;111;24;24;False;None;0.33;PPO;0.2;0.2;20;5e-05;0.99;None;0.03;[0];1;True;False;True;128;128;128;4096;512;4;4;python;cmp;True;False;True;20;True;dynamic;False;True;0.5;0.01;0.0;1.0;linear;True;0.0003;1e-06;0.0;1.0;linear;True;2.0;1.0;transe;mean;250;True;6;20;100;False;False;cuda;2.0;True;mrr;False;/home/castellanoontiv/Batched_env/kge_experiments/data;/home/castellanoontiv/Batched_env/kge_experiments/sb3/models;rules.txt;train.txt;True;/home/castellanoontiv/Batched_env/kge_experiments/sb3/runs;False;./../wandb/;False;False;True;False;False;False;False;True;False;False;0.0;None;None;{'ent_coef': {'initial': 0.5, 'final': 0.01, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}, 'lr': {'initial': 0.0003, 'final': 1e-06, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}};{'ent_coef': {'initial': 0.5, 'final': 0.01, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}, 'lr': {'initial': 0.0003, 'final': 1e-06, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}};tf;countries_s3-backward_0_1-no_reasoner-rotate-True-256-256-128-rules.txt;['tail'];None;train.txt;valid.txt;test.txt;250;250;250;countries_s3-250-True-0.2-0.2-cmp-4-4-20-5e-05-128-2.0-1.0-True;0;[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.862, 0.0];[0.792, 0.0];[0.875, 0.0];[1.0, 0.0];[0.0, 0.0];[0.862, 0.0];[0.0, 0.0];[0.792, 0.0];[0.0, 0.0];[0.875, 0.0];[0.0, 0.0];[1.0, 0.0];[0.675, 0.0];[0.75, 0.0];[0.52, 0.0];[0.036, 0.0];[0.27, 0.0];[9.583, 0.0];[5.944, 0.0];[17.417, 0.0];[4.259, 0.0];[-20.974, 0.0];[40.648, 0.0];[-95.049, 0.0];[22.26, 0.0];[7.368, 0.0];[4.107, 0.0];[18.0, 0.0];[4.0, 0.0];[8.0, 0.0];[4.899, 0.0];[17.934, 0.0];[3.56, 0.0];[1.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.778, 0.0];[0.533, 0.0];[18.0, 0.0];[1.0, 0.0];[0.0, 0.0];[3.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.833, 0.0];[0.373, 0.0];[18.0, 0.0];[1.0, 0.0];[0.0, 0.0];[3.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.069, 0.0];[0.254, 0.0];[72.0, 0.0];[0.792, 0.0];[0.406, 0.0];[24.0, 0.0];[0.069, 0.0];[0.254, 0.0];[72.0, 0.0]
countries_s3;None;None;None;None;None;111;24;24;False;None;0.33;PPO;0.2;0.2;20;5e-05;0.99;None;0.03;[0];200000;True;False;True;128;128;128;4096;128;4;4;python;cmp;True;False;True;20;True;dynamic;False;True;0.5;0.01;0.0;1.0;linear;True;0.0003;1e-06;0.0;1.0;linear;True;2.0;1.0;transe;mean;250;True;6;20;100;False;False;cuda;2.0;True;mrr;False;/home/castellanoontiv/Batched_env/kge_experiments/data;/home/castellanoontiv/Batched_env/kge_experiments/sb3/models;rules.txt;train.txt;True;/home/castellanoontiv/Batched_env/kge_experiments/sb3/runs;False;./../wandb/;False;False;True;False;False;False;False;True;False;False;0.0;None;None;{'ent_coef': {'initial': 0.5, 'final': 0.01, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}, 'lr': {'initial': 0.0003, 'final': 1e-06, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}};{'ent_coef': {'initial': 0.5, 'final': 0.01, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}, 'lr': {'initial': 0.0003, 'final': 1e-06, 'start_point': 0.0, 'end_point': 1.0, 'transform': 'linear', 'value_type': 'float'}};tf;countries_s3-backward_0_1-no_reasoner-rotate-True-256-256-128-rules.txt;['tail'];None;train.txt;valid.txt;test.txt;250;250;250;countries_s3-250-True-0.2-0.2-cmp-4-4-20-5e-05-128-2.0-1.0-True;0;[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.88, 0.017];[0.812, 0.021];[0.917, 0.042];[1.0, 0.0];[0.0, 0.0];[0.88, 0.017];[0.0, 0.0];[0.812, 0.021];[0.0, 0.0];[0.917, 0.042];[0.0, 0.0];[1.0, 0.0];[0.688, 0.012];[0.667, 0.083];[0.611, 0.091];[0.051, 0.014];[0.248, 0.022];[9.875, 0.292];[6.211, 0.267];[17.427, 0.01];[4.203, 0.056];[-25.278, 4.303];[43.327, 2.679];[-96.237, 1.188];[19.888, 2.372];[7.155, 0.214];[4.086, 0.021];[18.0, 0.0];[4.07, 0.07];[6.667, 1.333];[4.149, 0.75];[17.881, 0.053];[3.549, 0.012];[1.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.667, 0.111];[0.647, 0.114];[18.0, 0.0];[1.0, 0.0];[0.0, 0.0];[3.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.778, 0.056];[0.41, 0.038];[18.0, 0.0];[1.0, 0.0];[0.0, 0.0];[3.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[0.056, 0.014];[0.227, 0.027];[72.0, 0.0];[0.75, 0.042];[0.43, 0.024];[24.0, 0.0];[0.056, 0.014];[0.227, 0.027];[72.0, 0.0]
